"short_id","lon","lat","description"
"471773","35.554732","32.748552","had oral sex with a classmate hear while traveling around Israel with my American Jewish school, took me three years after that incident to realize that maybe I liked guys"
"478157","34.413438","31.413793","free palestine  - from france"
"693608","35.176835","31.894268","You held my hand, cooked me fresh pasta and kissed my neck. We discussed languages, religion, politics, culture, history and music. You understood the world, you understood me. In case I wasn’t clear in expressing how appreciative I was- I wanted you to know that you were the healthiest relationship I’ve ever been in. You gave me hope for what queer Palestine could look like. I hate that israeli checkpoints made us live in different cities and drift apart. I wish you all the good in the world, you deserve it."
"407266","34.835114","32.031018","we are palestinian refugees , some of us are queer. somewhere here a Palestinian village called Kafr 'Ana used to exist. i visited it yesterday and i wanted to document it on this website to remind my fellow queer family around the world that israel is a settler colony. i finally went to visit the place i hesitated for a very long time. non of my family members wanted to come , they told me they cant bare the pain standing on a place that was once a village. on my way to Kafr 'Ana i let the driver stop next to a house with oranges & a big israeli flag. i picked up some oranges as fast as I could before the owner of the house sees me. ' Its okay to do so , you're in your land ' said the driver. After we arrived to  Kafr 'Ana, i did something special , i picked up a bag and collected sand to my dad. he will definitely be happy. after that i went and touched the Mediterranean sea , the sea that was the biggest witness to our catastrophe."
"398241","34.745991","32.077546","Queer people should never allow themselves to be co-opted into supporting settler colonialism, ethnic cleansing and apartheid for the sake of a pride parade and few gay clubs. From the river to the sea Palestine will be free."
"326220","34.739428","32.062916","my first time visiting the city my grandparents were expelled from was emotional for me as a queer Palestinian, I couldn't hold my tears. Having to face queer westerns telling me they had fun visiting the city I am from, the city i am supposed to live and grow in, posting pictures on Instagram in a place where my people  were ethnically cleansed from. Even though I hold the Belgium citizenship since I was 23 , I never had the courage to go there because I couldn't accept the fact that people that don't deserve to be there are living in peace , the fact that I can only enter my land using a foreign passport. I am sure one day I will return and will be able to live in Jafa, a place where I feel I belong to. We will return , we shall return"
"292382","34.96337","32.757919","I am Palestinian queer. I don't live in my homeland but one day I hope to go back to Haifa, to Jerusalem and to jabal elnarr to see my tetas house and the open garden and all her mothers plants. sometimes I believe I am a mistake. that my sexuality is a mistake. but I remember that no matter my religion allah will love me because I am his creation. I am here for a reason and I should stay. and even tho queerness has brought me more pain than love I hope one day I can meet a girl who loves me for me and treats me well and we can live a beautiful life in my tetas house in Haifa. I don't know what I'm doing with my life but I do hope the path I'm on is the correct one. Palestine will be free one day and I will find the key to my property."
"404854","34.88502","31.656898","Dear readers, this land is called palestine❤️"
"405089","34.766827","32.080089","The Pride parade was held on ethnically cleansed Palestinian villages"
"395928","35.290384","32.433808","I hate this fucking unfair life because if my rights aren’t debatable as a Palestinian in the Arab world it’s debatable as a queer and if my rights aren’t debatable as a queer in the west it’s debatable as a Palestinian."
"395406","34.761537","32.066926","I don’t know how to feel as a Lgbt palestinian when the biggest pride event took place on the ruins of my village"
"393932","35.159138","32.840559","This land is called Palestine"
"350234","34.898243","31.534814","I am a queer palestinian refugee born in Lebanon. I wish I can go to Palestine"
"333077","34.758109","32.048427","My sitti died without ever seeing this city again. In 1948 she was sent into exile from her homeland, from Jaffa ""the bride of the sea"". Before she died, she told me about a woman she once loved here. After the Nakba, she never saw her again. She never even found out if she survived. She told me she still thinks about her. I still mourn the life my grandmother might have been able to live here, in this city, in her homeland. I still mourn the love she shared with this woman, only to be torn apart by 60 years of exile. This land was her birthright. This life was her birthright. They were stolen from her. This place will be liberated. I will return one day to a liberated Palestine. For her."
"388333","34.948522","31.718618","Reminder that israel is a settler colonial state that is built on the ethnic cleansing of the Palestinians. There are over 7 million stateless Palestinian refugees that are scattered around the world and can’t return to their original cities.  Stop the on going nakba. Right of the return NOW."
"330765","35.244719","31.769021","Our Queer Palestinians voices is higher than the brutality of the occupation and higher than the oppression that our society puts upon us, The voices of freedom will win and Palestine will be free and so we will be.🇵🇸"
"326615","34.761683","32.062041","I’m a queer palestinian. I originally come from here, where Eurovision was held in 2019,  located on top of the remains of of al-Manshiyya, the village my grandparents were ethnically cleansed from. The village was erased from existence during the nakba in 1948"
"323861","35.205144","31.705728","i met a friend here whose been on estrogen for 5 years. Has been going to the clinic and getting it for birth control for his sister. He’s one of the only medically transitioning ppl (the only that he knows of). He doesn’t identify as trans because he can’t. i love him as my sibling. love from israel free palestine"
"268001","35.203891","31.704074","I have never seen my city, I want to go home and meet my family, but I can't.
The occupation affects 100% of Palestinians, not just the straight cis ones, remember that."
"325744","35.196138","31.795402","Palestinian queer & refugee  here , I originally come from this village, Lifta that was ethnically cleansed by zionists in the 1948"
"275051","35.213604","31.732871","Being out doesn't mean anything to me. I wish to see Haifa I wish to see the village my parents had to leave I wish to see my brother who got killed I wish to be free but my freedom is beyond being out it's being Palestinian first and foremost. God have mercy on my brother and my palestinian siblings."
"210619","35.23418","31.776749","I dream of a time when Palestine is liberated and I can finally set foot in a place where my culture is not used as an excuse to oppress and enslave. Then and only then will I put my forehead to the Western Wall and cry a thousand tears for the members of my family who could not do the same"
"182986","35.259583","32.444885","Free Palestine - end pink washing! no genocide in our name!"
"152357","35.143751","32.526494","my Palestinian brother found out i was gay and told his twin brother and surprisingly they were accepted and one of them was bisexual. also Free Palestine and don NOT forget that Israel is a colonial state that also persecutes queer Palestinians as well as every Palestinian. stop the Pinkwashing."
"135937","35.135429","31.850353","I existed all over here. Was subjected to checkpoints and segregation here. I yearn to return here. A queer Palestinian. Free Palestine and f*ck pinkwashing."
"138607","34.790538","32.052935","palestinian moroccan femme frecha grew up here. 
to my younger self & my current self: you are worthy of love, freedom, the sea, delicious food, amazing sex, flowers, your ancestors' guidance and blessings.
you will spend so many years wishing you could come home, but eventually you'll realize that home was in your heart the whole time.
never compromise on any part of who you are.
tel aviv is palestine
and she will be free."
"151093","35.290183","32.461795","the hometown that i, a queer palestinian, will return to one day<3"
"408437","34.850511","32.332288","70+ years ago my grandfather was pushed out by force by Eastern European settlers and was forced to go to Egypt, one year ago my sister and I had the opportunity to be in the Um Khaled City, palestine. Which is the original name of the land. It was renamed Netanya after the Nakba. At that time my sister didn’t know she was pregnant weeks later she knew, she told me she was happy that part of this baby’s couple weeks was exercising our right to return and I truly think the baby (he)  is lucky"
"691797","34.442865","31.524358","The place where you died, even though we were only penpals, I love you to my core, 5 years of the best friendship. Ahmad died of the airstrike, you died of heartbreak. Khalid, I love you, I loved the way you came out to me, how I came out to you, how you introduced Ahmad as your boyfriend, I wanted to share your hurts with me, but we're seas apart, I'll free Palestine just for your eyes. I hope you rest well in heaven, kiss Ahmad all you want, and be very happy, in this life or another I'll follow you, and we can unite, I love you to Icarus and beyond 💗"
"519863","34.805086","31.971818","A gay trans dude happened to be born here. My family left the country when I was a toddler. We came back for a visit in 2014, when I was a teen, arriving a few days before the Gaza War started. I remember hearing sirens, going into bomb shelters, and nothing happening to me or anyone else. Looking down at my phone and see crowds in Gaza standing next to bombed buildings, people hurt and killed. Later, I saw a tank on the highway - just a tiny taste of something I couldn't begin to imagine. Hoping Palestine can be free and united soon."
"513772","35.21849","32.837579","Where us two Palestinian gay men got chased by wild boars 🐗 while doing the deed at 1 AM. Running, our pants down, laughing out loud in the middle of the olive groves and woods."
"509356","34.989973","32.787004","i am trans, and i am Palestinian. i will not chose between my country and my queerness and i will not let colonisers erase one half of me so the other can be free. allah’s love is for all"
"497442","35.319465","32.179668","around here would be where i live if palestine hadent been taken under colonization. i am a teenage bigender, bi aromantic palestinian-syrian person. i always miss my homeland even when ive never even been there. free palestine until its backwards. i live in amman and i go to school in khalda. i love you maya, youre my best friend even though i know you dont love me back </3."
"118563","34.79184","32.074045","first kissed a girl here. we sat in front of each other for 20 minutes instead of just getting on with it. one of the best days of my life."
"637002","35.196884","31.795932","First date here....I still miss you"
"494683","35.176139","31.91848","i love you more than you can imagine"
"128298","34.885261","32.150587","I am still freaking in love with you.
I realized it too late, and our friendship was broken because of me. I wanted to die, but not because of you. Because another friend i was in love with and never told her and she broke up with me before everything went to shit. I miss our friendship so much. I wish i wasn't an idiot or deepressed. 
I wish you would have read it, but you never will Xx"
"128297","35.220648","31.764613","She was the first women i ever dated as bi- right before i became 20
It has been two years and although nothing came out if it - not even a kiss
She was so kind to me, even when we broke up.
I wish i will find my next date, hopfully girlfriend, in the next few years."
"507559","35.226359","31.856729","عندنا خوف من المستقبل بس الاشي الوحيد الي بنفكر فيه انه بدنا نكون سوا
كتير بحبها"
"514075","35.202731","31.705383","Jesus is pretty gay🏳️‍🌈"
"515377","34.831072","32.134269","I go to school here, had my first two (so far) real crushes here, I hope to get my first gf soon. I was also for the first time was told that someone (happens to be the first girl I had had a crush on) that she liked me too. (Was after our crushes ended so we didn’t date) 
2023 (if I get a gf during my time in school maybe I’ll update lol)"
"423997","34.766141","32.053045","free palestine 🇵🇸"
"637081","35.099368","31.658525","ah, here it was. the place that i fell in love with an older woman… we were both really orthodox and i never thought it would happen, but at the beginning of covid, as we were locked down in our little campus, she shared her feelings for me too. we spent the next few months together and she opened in me something new… she was the first woman i had sex with and she was the first woman to truly break my heart… she left swiftly and we never even said goodbye, and i haven’t seen her since…. CE if you see this though i don’t think you would… you know who i am"
"637083","35.181596","31.752865","i did my gap year here at SFW… i was so in love with this girl but we never shared our feelings… i just knew. she even flew me to the states because i needed to see a doctor! she literally flew for a weekend just for me… i told a teacher i was gay and she told me that i would just need to meet the right man who is eventually learn to love…ֶhahah not the vibe"
